date_id,fdate,year,month,day,dow,dow_name,month_name,quarter,y-m,y-q
19000101,1900-01-01,1900,1,1,0,Monday,January,1,1900-1,1900-1
20220101,2022-01-01,2022,1,1,5,Saturday,January,1,2022-1,2022-1
20220102,2022-01-02,2022,1,2,6,Sunday,January,1,2022-1,2022-1
20220103,2022-01-03,2022,1,3,0,Monday,January,1,2022-1,2022-1
20220104,2022-01-04,2022,1,4,1,Tuesday,January,1,2022-1,2022-1
20220105,2022-01-05,2022,1,5,2,Wednesday,January,1,2022-1,2022-1
20220106,2022-01-06,2022,1,6,3,Thursday,January,1,2022-1,2022-1
20220107,2022-01-07,2022,1,7,4,Friday,January,1,2022-1,2022-1
20220108,2022-01-08,2022,1,8,5,Saturday,January,1,2022-1,2022-1
20220109,2022-01-09,2022,1,9,6,Sunday,January,1,2022-1,2022-1
20220110,2022-01-10,2022,1,10,0,Monday,January,1,2022-1,2022-1
20220111,2022-01-11,2022,1,11,1,Tuesday,January,1,2022-1,2022-1
20220112,2022-01-12,2022,1,12,2,Wednesday,January,1,2022-1,2022-1
20220113,2022-01-13,2022,1,13,3,Thursday,January,1,2022-1,2022-1
20220114,2022-01-14,2022,1,14,4,Friday,January,1,2022-1,2022-1
20220115,2022-01-15,2022,1,15,5,Saturday,January,1,2022-1,2022-1
20220116,2022-01-16,2022,1,16,6,Sunday,January,1,2022-1,2022-1
20220117,2022-01-17,2022,1,17,0,Monday,January,1,2022-1,2022-1
20220118,2022-01-18,2022,1,18,1,Tuesday,January,1,2022-1,2022-1
20220119,2022-01-19,2022,1,19,2,Wednesday,January,1,2022-1,2022-1
20220120,2022-01-20,2022,1,20,3,Thursday,January,1,2022-1,2022-1
20220121,2022-01-21,2022,1,21,4,Friday,January,1,2022-1,2022-1
20220122,2022-01-22,2022,1,22,5,Saturday,January,1,2022-1,2022-1
20220123,2022-01-23,2022,1,23,6,Sunday,January,1,2022-1,2022-1
20220124,2022-01-24,2022,1,24,0,Monday,January,1,2022-1,2022-1
20220125,2022-01-25,2022,1,25,1,Tuesday,January,1,2022-1,2022-1
20220126,2022-01-26,2022,1,26,2,Wednesday,January,1,2022-1,2022-1
20220127,2022-01-27,2022,1,27,3,Thursday,January,1,2022-1,2022-1
20220128,2022-01-28,2022,1,28,4,Friday,January,1,2022-1,2022-1
20220129,2022-01-29,2022,1,29,5,Saturday,January,1,2022-1,2022-1
20220130,2022-01-30,2022,1,30,6,Sunday,January,1,2022-1,2022-1
20220131,2022-01-31,2022,1,31,0,Monday,January,1,2022-1,2022-1
20220201,2022-02-01,2022,2,1,1,Tuesday,February,1,2022-2,2022-1
20220202,2022-02-02,2022,2,2,2,Wednesday,February,1,2022-2,2022-1
20220203,2022-02-03,2022,2,3,3,Thursday,February,1,2022-2,2022-1
20220204,2022-02-04,2022,2,4,4,Friday,February,1,2022-2,2022-1
20220205,2022-02-05,2022,2,5,5,Saturday,February,1,2022-2,2022-1
20220206,2022-02-06,2022,2,6,6,Sunday,February,1,2022-2,2022-1
20220207,2022-02-07,2022,2,7,0,Monday,February,1,2022-2,2022-1
20220208,2022-02-08,2022,2,8,1,Tuesday,February,1,2022-2,2022-1
20220209,2022-02-09,2022,2,9,2,Wednesday,February,1,2022-2,2022-1
20220210,2022-02-10,2022,2,10,3,Thursday,February,1,2022-2,2022-1
20220211,2022-02-11,2022,2,11,4,Friday,February,1,2022-2,2022-1
20220212,2022-02-12,2022,2,12,5,Saturday,February,1,2022-2,2022-1
20220213,2022-02-13,2022,2,13,6,Sunday,February,1,2022-2,2022-1
20220214,2022-02-14,2022,2,14,0,Monday,February,1,2022-2,2022-1
20220215,2022-02-15,2022,2,15,1,Tuesday,February,1,2022-2,2022-1
20220216,2022-02-16,2022,2,16,2,Wednesday,February,1,2022-2,2022-1
20220217,2022-02-17,2022,2,17,3,Thursday,February,1,2022-2,2022-1
20220218,2022-02-18,2022,2,18,4,Friday,February,1,2022-2,2022-1
20220219,2022-02-19,2022,2,19,5,Saturday,February,1,2022-2,2022-1
20220220,2022-02-20,2022,2,20,6,Sunday,February,1,2022-2,2022-1
20220221,2022-02-21,2022,2,21,0,Monday,February,1,2022-2,2022-1
20220222,2022-02-22,2022,2,22,1,Tuesday,February,1,2022-2,2022-1
