film_id,title,description,category,language,rating,release_year,rental_duration,actor,special_features,fulltext,length,rental_rate,replacement_cost
1,ACADEMY DINOSAUR,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,Documentary,English             ,PG,2006,6,"{'Mena Temple', 'Warren Nolte', 'Penelope Guiness', 'Lucille Tracy', 'Sandra Peck', 'Rock Dukakis', 'Christian Gable', 'Oprah Kilmer', 'Johnny Cage', 'Mary Keitel'}","{""Deleted Scenes"",""Behind the Scenes""}",'academi':1 'battl':15 'canadian':20 'dinosaur':2 'drama':5 'epic':4 'feminist':8 'mad':11 'must':14 'rocki':21 'scientist':12 'teacher':17,86,0.99,20.99
2,ACE GOLDFINGER,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,Horror,English             ,G,2006,3,"{'Minnie Zellweger', 'Bob Fawcett', 'Chris Depp', 'Sean Guiness'}","{Trailers,""Deleted Scenes""}",'ace':1 'administr':9 'ancient':19 'astound':4 'car':17 'china':20 'databas':8 'epistl':5 'explor':12 'find':15 'goldfing':2 'must':14,48,4.99,12.99
3,ADAPTATION HOLES,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,Documentary,English             ,NC-17,2006,7,"{'Ray Johansson', 'Nick Wahlberg', 'Bob Fawcett', 'Julianne Dench', 'Cameron Streep'}","{Trailers,""Deleted Scenes""}","'adapt':1 'astound':4 'baloon':19 'car':11 'factori':20 'hole':2 'lumberjack':8,16 'must':13 'reflect':5 'sink':14",50,2.99,18.99
4,AFFAIR PREJUDICE,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,Horror,English             ,G,2006,5,"{'Jodie Degeneres', 'Fay Winslet', 'Kenneth Pesci', 'Scarlett Damon', 'Oprah Kilmer'}","{Commentaries,""Behind the Scenes""}",'affair':1 'chase':14 'documentari':5 'fanci':4 'frisbe':8 'lumberjack':11 'monkey':16 'must':13 'prejudic':2 'shark':19 'tank':20,117,2.99,26.99
5,AFRICAN EGG,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,Family,English             ,G,2006,6,"{'Dustin Tautou', 'Matthew Carrey', 'Thora Temple', 'Gary Phoenix', 'Matthew Leigh'}","{""Deleted Scenes""}",'african':1 'chef':11 'dentist':14 'documentari':7 'egg':2 'fast':5 'fast-pac':4 'forens':19 'gulf':23 'mexico':25 'must':16 'pace':6 'pastri':10 'psychologist':20 'pursu':17,130,2.99,22.99
6,AGENT TRUMAN,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,Foreign,English             ,PG,2006,3,"{'Warren Nolte', 'Morgan Williams', 'Kirsten Paltrow', 'Jayne Neeson', 'Kenneth Hoffman', 'Reese West', 'Sandra Kilmer'}","{""Deleted Scenes""}",'agent':1 'ancient':19 'boy':11 'china':20 'escap':14 'intrepid':4 'must':13 'panorama':5 'robot':8 'sumo':16 'truman':2 'wrestler':17,169,2.99,17.99
7,AIRPLANE SIERRA,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,Comedy,English             ,PG-13,2006,6,"{'Jim Mostel', 'Mena Hopper', 'Richard Penn', 'Michael Bolger', 'Oprah Kilmer'}","{Trailers,""Deleted Scenes""}","'airplan':1 'boat':20 'butler':11,16 'discov':14 'hunter':8 'jet':19 'must':13 'saga':5 'sierra':2 'touch':4",62,4.99,28.99
8,AIRPORT POLLOCK,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,Horror,English             ,R,2006,6,"{'Fay Kilmer', 'Gene Willis', 'Susan Davis', 'Lucille Dee'}",{Trailers},'airport':1 'ancient':18 'confront':14 'epic':4 'girl':11 'india':19 'monkey':16 'moos':8 'must':13 'pollock':2 'tale':5,54,4.99,15.99
9,ALABAMA DEVIL,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,Horror,English             ,PG-13,2006,3,"{'Elvis Marx', 'Greta Keitel', 'Mena Temple', 'Warren Nolte', 'Meryl Allen', 'Rip Winslet', 'Christian Gable', 'Rip Crawford', 'William Hackman'}","{Trailers,""Deleted Scenes""}","'administr':9 'alabama':1 'boat':23 'databas':8 'devil':2 'jet':22 'mad':12,18 'must':15 'outgun':16 'panorama':5 'scientist':13,19 'thought':4",114,2.99,21.99
10,ALADDIN CALENDAR,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,Sports,English             ,NC-17,2006,6,"{'Val Bolger', 'Ray Johansson', 'Renee Tracy', 'Greta Malden', 'Rock Dukakis', 'Alec Wayne', 'Judy Dean', 'Jada Ryder'}","{Trailers,""Deleted Scenes""}",'action':5 'action-pack':4 'aladdin':1 'ancient':20 'calendar':2 'china':21 'feminist':18 'lumberjack':13 'man':10 'must':15 'pack':6 'reach':16 'tale':7,63,4.99,24.99
11,ALAMO VIDEOTAPE,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,Foreign,English             ,G,2006,6,"{'Michael Bening', 'Scarlett Damon', 'Johnny Cage', 'Sean Guiness'}","{Commentaries,""Behind the Scenes""}",'alamo':1 'bore':4 'butler':8 'cat':11 'chef':17 'convent':21 'epistl':5 'fight':14 'must':13 'mysql':20 'pastri':16 'videotap':2,126,0.99,16.99
12,ALASKA PHANTOM,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,Music,English             ,PG,2006,6,"{'Val Bolger', 'Gene Mckellen', 'Albert Johansson', 'Sylvester Dern', 'Sidney Crowe', 'Jeff Silverstone', 'Burt Posey'}","{Commentaries,""Deleted Scenes""}",'alaska':1 'australia':19 'boy':17 'chef':12 'fanci':4 'hunter':8 'must':14 'pastri':11 'phantom':2 'saga':5 'vanquish':15,136,0.99,22.99
213,DATE SPEED,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,Family,English             ,R,2006,4,"{'Rip Winslet', 'Kevin Bloom', 'Karl Berry', 'Jude Cruise'}",{Commentaries},'compos':8 'convent':20 'date':1 'dentist':16 'discov':14 'moos':11 'must':13 'mysql':19 'saga':5 'speed':2 'touch':4,104,0.99,19.99
13,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,Horror,English             ,PG,2006,4,"{'Kenneth Torn', 'Morgan Mcdormand', 'Jon Chase', 'Christopher Berry', 'Cary Mcconaughey'}","{""Deleted Scenes"",""Behind the Scenes""}",'action':5 'action-pack':4 'ali':1 'battl':16 'canadian':21 'crocodil':13 'dentist':10 'drama':7 'feminist':18 'forev':2 'must':15 'pack':6 'rocki':22,150,4.99,21.99
14,ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,Classics,English             ,NC-17,2006,6,"{'Rock Dukakis', 'Minnie Zellweger', 'Woody Hoffman', 'Morgan Williams'}","{Trailers,""Deleted Scenes"",""Behind the Scenes""}",'administr':13 'alic':1 'databas':12 'drama':5 'emot':4 'fantasia':2 'georgia':21 'must':15 'pioneer':18 'shark':9 'soviet':20 'vanquish':16,94,0.99,23.99
15,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,Foreign,English             ,NC-17,2006,5,"{'Mena Hopper', 'Burt Dukakis', 'Humphrey Willis', 'Renee Tracy', 'Sidney Crowe', 'Kenneth Paltrow'}","{Trailers,Commentaries,""Behind the Scenes""}",'alien':1 'battl':15 'brilliant':4 'cat':8 'center':2 'convent':21 'drama':5 'feminist':17 'mad':11 'must':14 'mysql':20 'scientist':12,46,2.99,10.99
16,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,Foreign,English             ,NC-17,2006,6,"{'Gregory Gooding', 'Karl Berry', 'Albert Johansson', 'Jude Cruise', 'John Suvari'}","{Trailers,Commentaries}",'alley':1 'astronaut':18 'battl':16 'compos':13 'drama':7 'evolut':2 'fast':5 'fast-pac':4 'must':15 'new':20 'orlean':21 'pace':6 'robot':10,180,2.99,23.99
17,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,Music,English             ,R,2006,3,"{'Karl Berry', 'Renee Ball', 'Laurence Bullock', 'Ed Chase', 'Woody Jolie', 'Uma Wood', 'Spencer Depp', 'Chris Depp'}","{Trailers,""Behind the Scenes""}",'abandon':22 'alon':1 'boat':19 'charact':7 'compos':11 'dog':14 'fast':5 'fast-pac':4 'fun':23 'hous':24 'must':16 'outgun':17 'pace':6 'studi':8 'trip':2,82,0.99,14.99
18,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,Animation,English             ,PG-13,2006,6,"{'Reese Kilmer', 'Angela Witherspoon', 'Oprah Kilmer', 'Jada Ryder'}","{Trailers,""Behind the Scenes""}",'agent':17 'alter':1 'canadian':20 'compos':8 'drama':5 'feminist':11 'meet':14 'must':13 'rocki':21 'secret':16 'thought':4 'victori':2,57,0.99,27.99
19,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,Action,English             ,PG,2006,6,"{'Julia Mcqueen', 'Val Bolger', 'James Pitt', 'Penelope Cronyn', 'Kirk Jovovich', 'Johnny Lollobrigida'}","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'amadeus':1 'baloon':20 'battl':15 'display':5 'emot':4 'holi':2 'man':17 'must':14 'pioneer':8 'technic':11 'writer':12,113,0.99,20.99
20,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,Music,English             ,R,2006,4,"{'Carmen Hunt', 'Ewan Gooding', 'Ian Tandy', 'Ed Mansfield', 'Walter Torn', 'Laura Brody'}","{Commentaries,""Deleted Scenes"",""Behind the Scenes""}",'ameli':1 'baloon':19 'bore':4 'conquer':14 'drama':5 'hellfight':2 'must':13 'squirrel':11 'student':16 'woman':8,79,4.99,23.99
21,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,Action,English             ,R,2006,3,"{'Frances Tomei', 'Kevin Bloom', 'Sidney Crowe', 'Rip Crawford', 'Warren Jackman'}","{Commentaries,""Behind the Scenes""}",'administr':17 'american':1 'astronaut':11 'circus':2 'databas':16 'drama':5 'face':14 'girl':8 'insight':4 'must':13 'shark':20 'tank':21,129,4.99,17.99
22,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,New,English             ,G,2006,6,"{'Cary Mcconaughey', 'Scarlett Bening', 'Daryl Wahlberg', 'Salma Nolte'}","{Commentaries,""Behind the Scenes""}",'amistad':1 'california':20 'charact':5 'crocodil':12 'dentist':9 'emot':4 'meet':15 'midsumm':2 'must':14 'studi':6 'sumo':17 'wrestler':18,85,2.99,10.99
