inventory_id,film_id,manager_staff_id,address,district,city,country
1,1,1,47 MySakila Drive,Alberta,Lethbridge,Canada
2,1,1,47 MySakila Drive,Alberta,Lethbridge,Canada
3,1,1,47 MySakila Drive,Alberta,Lethbridge,Canada
4,1,1,47 MySakila Drive,Alberta,Lethbridge,Canada
5,1,2,28 MySQL Boulevard,QLD,Woodridge,Australia
6,1,2,28 MySQL Boulevard,QLD,Woodridge,Australia
7,1,2,28 MySQL Boulevard,QLD,Woodridge,Australia
8,1,2,28 MySQL Boulevard,QLD,Woodridge,Australia
9,2,2,28 MySQL Boulevard,QLD,Woodridge,Australia
10,2,2,28 MySQL Boulevard,QLD,Woodridge,Australia
11,2,2,28 MySQL Boulevard,QLD,Woodridge,Australia
12,3,2,28 MySQL Boulevard,QLD,Woodridge,Australia
13,3,2,28 MySQL Boulevard,QLD,Woodridge,Australia
14,3,2,28 MySQL Boulevard,QLD,Woodridge,Australia
15,3,2,28 MySQL Boulevard,QLD,Woodridge,Australia
16,4,1,47 MySakila Drive,Alberta,Lethbridge,Canada
17,4,1,47 MySakila Drive,Alberta,Lethbridge,Canada
18,4,1,47 MySakila Drive,Alberta,Lethbridge,Canada
19,4,1,47 MySakila Drive,Alberta,Lethbridge,Canada
20,4,2,28 MySQL Boulevard,QLD,Woodridge,Australia
21,4,2,28 MySQL Boulevard,QLD,Woodridge,Australia
22,4,2,28 MySQL Boulevard,QLD,Woodridge,Australia
23,5,2,28 MySQL Boulevard,QLD,Woodridge,Australia
24,5,2,28 MySQL Boulevard,QLD,Woodridge,Australia
25,5,2,28 MySQL Boulevard,QLD,Woodridge,Australia
26,6,1,47 MySakila Drive,Alberta,Lethbridge,Canada
27,6,1,47 MySakila Drive,Alberta,Lethbridge,Canada
28,6,1,47 MySakila Drive,Alberta,Lethbridge,Canada
29,6,2,28 MySQL Boulevard,QLD,Woodridge,Australia
30,6,2,28 MySQL Boulevard,QLD,Woodridge,Australia
31,6,2,28 MySQL Boulevard,QLD,Woodridge,Australia
32,7,1,47 MySakila Drive,Alberta,Lethbridge,Canada
33,7,1,47 MySakila Drive,Alberta,Lethbridge,Canada
34,7,2,28 MySQL Boulevard,QLD,Woodridge,Australia
35,7,2,28 MySQL Boulevard,QLD,Woodridge,Australia
36,7,2,28 MySQL Boulevard,QLD,Woodridge,Australia
37,8,2,28 MySQL Boulevard,QLD,Woodridge,Australia
38,8,2,28 MySQL Boulevard,QLD,Woodridge,Australia
39,8,2,28 MySQL Boulevard,QLD,Woodridge,Australia
40,8,2,28 MySQL Boulevard,QLD,Woodridge,Australia
41,9,1,47 MySakila Drive,Alberta,Lethbridge,Canada
42,9,1,47 MySakila Drive,Alberta,Lethbridge,Canada
43,9,1,47 MySakila Drive,Alberta,Lethbridge,Canada
44,9,2,28 MySQL Boulevard,QLD,Woodridge,Australia
45,9,2,28 MySQL Boulevard,QLD,Woodridge,Australia
46,10,1,47 MySakila Drive,Alberta,Lethbridge,Canada
47,10,1,47 MySakila Drive,Alberta,Lethbridge,Canada
48,10,1,47 MySakila Drive,Alberta,Lethbridge,Canada
49,10,1,47 MySakila Drive,Alberta,Lethbridge,Canada
50,10,2,28 MySQL Boulevard,QLD,Woodridge,Australia
51,10,2,28 MySQL Boulevard,QLD,Woodridge,Australia
52,10,2,28 MySQL Boulevard,QLD,Woodridge,Australia
