payment_id,customer_id,staff_id,rental_id,inventory_id,film_id,amount,payment_date
16051,269,1,98,2970,651,0.99,2022-01-29 01:58:52.222594+00
16065,274,1,147,633,138,2.99,2022-01-25 12:14:16.895377+00
16109,297,2,143,847,186,0.99,2022-01-28 00:49:49.128218+00
16195,344,2,157,887,197,2.99,2022-01-31 05:58:51.176578+00
16202,348,2,821,3380,741,0.99,2022-01-26 16:52:41.359433+00
16216,357,2,945,1441,315,0.99,2022-01-24 00:39:09.052005+00
16237,369,1,31,4482,979,4.99,2022-01-31 00:12:16.422091+00
16247,372,1,617,4142,900,2.99,2022-01-29 12:51:46.565326+00
16249,373,2,257,2570,563,4.99,2022-01-29 05:33:33.142744+00
16259,379,2,209,729,159,4.99,2022-01-30 23:02:06.818362+00
16295,397,2,1002,709,155,0.99,2022-01-28 13:25:14.841952+00
16318,409,1,310,593,129,6.99,2022-01-25 01:57:07.766857+00
16320,411,2,972,2,1,1.99,2022-01-31 11:12:57.610606+00
16331,416,2,724,3770,825,3.99,2022-01-24 04:59:03.204053+00
16336,419,1,62,261,58,2.99,2022-01-29 09:48:28.376954+00
16354,432,2,326,3979,867,7.99,2022-01-28 01:42:25.075477+00
16365,437,1,192,1897,413,2.99,2022-01-24 17:03:14.157666+00
16367,437,1,666,3075,676,5.99,2022-01-29 22:26:14.302644+00
16405,457,2,1024,2310,502,7.99,2022-01-25 04:27:19.820601+00
16416,464,2,373,1649,360,1.99,2022-01-26 23:25:52.226731+00
16420,468,2,101,617,134,6.99,2022-01-28 20:21:03.857629+00
16463,489,2,513,225,50,2.99,2022-01-28 04:47:04.957501+00
16518,515,2,187,4004,872,8.99,2022-01-29 08:03:30.047386+00
16536,528,2,472,1338,295,0.99,2022-01-26 03:43:15.130965+00
16571,546,1,197,4212,915,5.99,2022-01-26 04:40:52.164582+00
16580,549,2,852,1622,354,4.99,2022-01-31 17:59:37.587453+00
16635,582,1,281,1208,269,0.99,2022-01-26 06:24:18.457849+00
16654,594,1,1045,3470,760,6.99,2022-01-30 04:32:24.000007+00
16665,203,1,314,2851,625,0.99,2022-01-28 00:22:36.913361+00
16681,3,1,830,3464,759,2.99,2022-01-23 17:24:52.109704+00
16684,5,1,1142,3998,870,1.99,2022-01-27 10:15:27.766413+00
16706,16,1,335,1411,309,3.99,2022-01-23 20:35:04.736603+00
16721,19,2,696,2076,450,2.99,2022-01-24 04:55:04.465099+00
16725,21,1,260,435,96,3.99,2022-01-23 19:39:48.15808+00
16726,21,2,463,826,181,3.99,2022-01-27 23:12:57.558291+00
16804,58,1,230,1085,242,0.99,2022-01-28 04:32:46.647228+00
16810,60,1,318,2559,561,4.99,2022-01-29 01:46:18.217762+00
16817,64,1,587,1413,309,0.99,2022-01-29 04:52:32.288355+00
16825,69,2,765,515,114,1.99,2022-01-29 04:38:06.311495+00
16840,77,1,419,2514,552,1.99,2022-01-29 06:27:31.455384+00
16850,83,2,222,2745,602,0.99,2022-01-31 22:15:03.268858+00
16851,83,2,950,491,109,0.99,2022-01-31 20:32:34.114471+00
16861,88,2,36,1308,288,2.99,2022-01-24 02:45:54.820069+00
16966,146,2,762,3683,805,7.99,2022-01-25 11:58:02.01874+00
16980,154,2,865,3183,698,7.99,2022-01-27 04:34:41.615317+00
17021,174,1,41,1761,382,5.99,2022-01-26 18:33:16.330945+00
17025,176,1,553,1349,298,3.99,2022-01-29 14:58:04.749257+00
17091,217,2,828,2468,540,2.99,2022-01-26 06:36:40.672488+00
17095,220,1,480,2108,457,3.99,2022-01-26 23:02:27.359434+00
17102,223,2,524,1962,428,2.99,2022-01-23 15:28:46.388149+00
17135,241,1,627,425,93,7.99,2022-01-29 17:46:57.785609+00
17201,266,1,86,2275,491,1.99,2022-01-28 18:58:02.018945+00
17270,284,1,1171,4082,890,0.99,2022-01-25 01:27:54.217882+00
17274,285,2,1302,324,72,3.99,2022-01-29 06:02:18.549386+00
17276,286,1,1690,1099,244,8.99,2022-01-28 16:14:04.070713+00
17291,290,2,1496,3915,854,4.99,2022-01-25 01:07:53.953561+00
17298,292,2,2258,4573,999,3.99,2022-01-29 19:21:55.755158+00
17303,293,2,1860,1853,403,4.99,2022-01-27 23:10:40.988978+00
17311,295,1,1328,3665,800,2.99,2022-01-23 18:20:08.440348+00
17313,295,1,2054,1588,348,2.99,2022-01-23 13:43:42.505434+00
17315,295,1,2638,2944,646,1.99,2022-01-29 22:23:14.790339+00
17347,303,1,3107,4527,988,2.99,2022-01-30 01:50:21.310571+00
17351,304,2,2902,2787,611,4.99,2022-01-24 22:49:48.948734+00
17403,318,2,3376,3055,670,7.99,2022-01-29 10:47:43.644651+00
17421,322,1,2983,1349,298,7.99,2022-01-25 19:07:24.992406+00
17423,322,2,3413,666,145,8.99,2022-01-28 05:07:02.442022+00
17454,329,2,3053,818,178,0.99,2022-01-31 07:03:12.9492+00
17464,333,1,1667,2362,514,2.99,2022-01-30 08:25:30.189577+00
17489,339,2,1432,523,115,3.99,2022-01-24 15:07:12.87389+00
17490,339,1,1536,3248,715,4.99,2022-01-26 05:32:55.01393+00
17495,340,1,1697,1801,391,3.99,2022-01-31 11:10:25.800622+00
17508,341,1,3382,131,26,5.99,2022-01-30 12:39:17.919738+00
17579,360,2,1492,4148,901,0.99,2022-01-26 14:24:50.296376+00
17608,366,2,2214,2430,531,0.99,2022-01-26 01:43:22.116339+00
17615,368,2,3275,2320,504,4.99,2022-01-26 10:19:47.778411+00
17684,385,1,3105,130,26,0.99,2022-01-29 22:01:24.157019+00
17685,386,2,1585,1708,373,3.99,2022-01-26 15:38:44.367328+00
17717,392,2,2890,3437,753,4.99,2022-01-31 00:41:09.532292+00
17737,398,2,3141,1806,392,9.99,2022-01-24 12:31:08.469382+00
17783,411,2,1997,846,185,2.99,2022-01-28 03:05:52.012455+00
17819,424,1,3166,1850,403,6.99,2022-01-27 01:45:01.808857+00
17824,426,1,2204,1137,252,2.99,2022-01-25 07:28:48.956372+00
17857,434,1,1225,1929,418,0.99,2022-01-30 10:17:40.134298+00
17869,437,2,3265,3637,794,2.99,2022-01-28 09:13:39.904168+00
17871,438,2,1779,1044,233,0.99,2022-01-25 02:32:26.207845+00
17880,439,1,2992,3347,735,2.99,2022-01-25 19:12:35.124342+00
17911,449,1,2348,3622,790,0.99,2022-01-23 15:20:02.390905+00
17916,450,2,2278,1166,258,0.99,2022-01-31 09:18:37.530517+00
17920,451,1,1202,2821,619,0.99,2022-01-31 00:33:53.515156+00
17922,451,1,1940,105,21,6.99,2022-01-31 20:19:41.053708+00
17936,453,2,2887,1073,239,4.99,2022-01-24 01:35:12.665382+00
17938,454,2,1844,2307,501,7.99,2022-01-25 09:54:51.36445+00
17950,455,2,2356,2207,477,0.99,2022-01-31 07:22:13.073352+00
17959,457,2,1727,2951,647,0.99,2022-01-23 21:26:40.481358+00
17963,457,1,2762,3431,753,3.99,2022-01-26 15:52:06.066477+00
17974,459,2,3045,3065,673,0.99,2022-01-26 13:35:07.808117+00
17985,463,1,3309,248,56,4.99,2022-01-24 17:42:39.997128+00
18003,468,1,1821,3207,705,2.99,2022-01-25 19:14:02.390989+00
18005,468,2,2462,2151,465,4.99,2022-01-29 18:30:23.234361+00
18038,478,2,2358,1728,376,4.99,2022-01-29 09:04:26.187969+00
18076,489,1,2802,4067,887,4.99,2022-01-27 18:48:13.833307+00
18102,497,2,2818,2376,518,4.99,2022-01-24 12:32:43.466888+00
18113,500,1,1375,3555,777,5.99,2022-01-28 04:06:57.113409+00
18136,506,2,2824,2878,631,6.99,2022-01-30 22:54:20.047456+00
18159,513,2,2290,200,44,7.99,2022-01-24 20:49:35.843508+00
18160,513,2,2737,3131,688,1.99,2022-01-24 19:44:51.809898+00
18173,516,2,1159,4395,961,4.99,2022-01-29 23:37:02.900724+00
18198,523,2,1729,3364,738,6.99,2022-01-28 22:25:38.508245+00
18241,535,1,1712,1363,300,4.99,2022-01-29 05:58:55.481946+00
18277,546,2,1403,3380,741,0.99,2022-01-24 03:06:27.214668+00
18317,559,1,2706,373,82,0.99,2022-01-28 16:19:35.594334+00
18328,561,1,2950,1438,314,4.99,2022-01-27 18:57:32.453461+00
18386,576,1,2651,2181,471,3.99,2022-01-26 10:47:47.387881+00
18401,581,1,2137,1158,255,4.99,2022-01-23 21:55:59.088886+00
18468,202,1,1474,164,35,2.99,2022-01-30 22:45:24.899702+00
18471,202,2,3148,4490,981,0.99,2022-01-29 21:46:30.676485+00
18506,3,1,2628,3917,855,2.99,2022-01-26 01:58:25.925938+00
18526,7,1,3007,1950,424,0.99,2022-01-29 09:59:18.31734+00
18532,10,1,1801,1015,227,4.99,2022-01-28 02:03:15.345708+00
18541,12,2,2434,3739,818,5.99,2022-01-23 16:29:32.179976+00
18544,12,2,3135,1122,249,2.99,2022-01-30 14:39:52.5628+00
18577,22,1,3419,4022,876,2.99,2022-01-31 08:52:10.794939+00
18579,23,1,2827,2745,602,0.99,2022-01-30 20:09:06.917455+00
18580,23,1,3015,1311,289,5.99,2022-01-26 06:07:04.040097+00
18619,29,2,2923,109,22,2.99,2022-01-25 21:41:54.235054+00
18622,30,2,1895,680,149,2.99,2022-01-30 14:18:57.334688+00
18683,45,2,2722,952,212,4.99,2022-01-29 19:28:49.624839+00
18701,49,2,1777,3325,731,6.99,2022-01-29 12:27:18.035445+00
18734,57,2,2910,630,137,7.99,2022-01-31 12:32:20.581604+00
18750,62,1,3327,3083,677,3.99,2022-01-30 00:22:15.955736+00
18770,68,2,2662,3936,858,4.99,2022-01-31 17:24:13.637965+00
18771,68,1,2686,2686,590,2.99,2022-01-30 12:37:08.915745+00
18837,86,1,2518,3503,767,4.99,2022-01-23 20:13:05.618859+00
18847,88,1,2878,4120,895,2.99,2022-01-28 22:32:01.846378+00
18857,91,1,2457,1277,282,3.99,2022-01-31 13:29:22.157965+00
18860,92,2,2084,428,95,4.99,2022-01-25 21:52:26.595086+00
18918,108,2,1372,3740,818,4.99,2022-01-30 01:01:07.306069+00
18920,108,1,2061,4575,1000,8.99,2022-01-24 22:31:23.915378+00
18921,108,1,2210,219,49,2.99,2022-01-29 19:35:47.175956+00
18924,109,2,1891,3576,782,3.99,2022-01-25 07:41:11.189764+00
18929,111,1,1593,766,167,6.99,2022-01-29 19:14:49.242691+00
19008,130,1,2982,2574,563,6.99,2022-01-24 22:43:06.046054+00
19009,131,1,1646,4037,879,9.99,2022-01-26 09:34:23.882543+00
19045,141,2,2895,4445,972,7.99,2022-01-25 22:37:06.81039+00
19085,150,2,3187,4357,949,1.99,2022-01-26 11:17:47.357714+00
19086,150,1,3456,1119,248,5.99,2022-01-27 14:39:07.386127+00
19116,160,2,2314,2157,466,4.99,2022-01-23 18:59:33.993546+00
19119,161,1,1856,3034,665,2.99,2022-01-25 02:06:37.90564+00
19121,162,2,1339,424,93,4.99,2022-01-27 18:53:56.962439+00
19141,167,1,1416,3816,835,3.99,2022-01-27 20:14:47.743417+00
19156,172,2,1507,2514,552,0.99,2022-01-23 13:57:04.087741+00
19163,173,1,3336,2122,460,4.99,2022-01-26 23:12:03.475988+00
19167,174,2,3446,1817,395,1.99,2022-01-26 19:26:32.324719+00
19171,176,1,1741,3722,814,7.99,2022-01-23 18:47:31.765476+00
19173,176,1,2181,3481,763,8.99,2022-01-29 12:32:26.254296+00
19183,178,1,1292,4535,989,6.99,2022-01-26 13:46:39.760658+00
19188,178,1,2293,3209,705,4.99,2022-01-27 02:49:56.776826+00
19194,180,1,2798,1343,296,2.99,2022-01-23 13:24:17.906429+00
19202,182,1,2234,234,52,0.99,2022-01-31 15:17:31.897094+00
19205,183,2,2471,3399,745,5.99,2022-01-29 18:06:54.125709+00
19209,185,1,2459,1024,229,4.99,2022-01-25 02:05:27.650997+00
19230,189,1,1834,4018,875,0.99,2022-01-30 21:09:05.643079+00
19234,190,1,1319,4296,936,2.99,2022-01-30 15:13:26.743955+00
19264,196,2,3342,2884,633,4.99,2022-01-26 11:24:38.200167+00
19275,199,1,1910,3903,852,2.99,2022-01-30 02:54:01.728728+00
19299,212,1,1637,906,201,2.99,2022-01-29 12:58:26.783939+00
19319,216,2,1461,4479,979,6.99,2022-01-31 00:42:08.422833+00
19380,234,2,3199,3824,837,4.99,2022-01-25 08:09:06.587413+00
19386,236,2,2311,4506,984,6.99,2022-01-27 23:04:37.87377+00
19423,244,2,2955,2312,502,3.99,2022-01-26 00:50:42.270317+00
19456,254,1,2138,512,114,2.99,2022-01-31 16:16:57.901794+00
19466,256,1,2380,4413,964,6.99,2022-01-29 17:33:47.014561+00
19480,260,2,2040,227,51,2.99,2022-01-28 10:12:32.718181+00
19539,269,2,10566,3988,869,2.99,2022-01-29 13:58:56.641347+00
19564,271,1,12219,2249,486,4.99,2022-01-30 13:48:07.053308+00
19576,273,1,10753,1557,341,3.99,2022-01-30 08:46:35.34433+00
19641,277,2,14745,4399,961,4.99,2022-01-31 18:49:34.590337+00
19653,278,2,14803,2525,555,0.99,2022-01-24 07:45:02.491429+00
19667,279,1,14789,2344,510,4.99,2022-01-26 09:48:44.562268+00
19693,283,1,15837,4388,958,2.99,2022-01-29 23:21:10.158804+00
